student_id,app_index,school,program,intake,status,requirements_json
2330563,1,,,,1,"[{""text"": ""Pending (2)\nCertificate for Grade 12 / High School from Kigali Christian School\nUpload\nProof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Pending (2)\nCertificate for Grade 12 / High School from Kigali Christian School\nUpload\nProof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload\nProof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload\nProof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload\nProof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload""}, {""text"": ""Certificate for Grade 12 / High School from Kigali Christian School\nUpload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Proof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Proof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Proof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Proof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Proof For English Proficiency Test Exemption\nOptional\nUpload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}]"
2330563,2,,,,,[]
2330563,3,,,,,[]
2330563,4,,,,,[]
2330563,5,,,,,[]
2330563,6,,,,,[]
2328461,1,,,,2,[]
2328461,2,,,,,[]
2328304,1,,,,2,"[{""text"": ""Pending (2)\nFinancial Declaration\nOptional\nUpload\nBank Statement\nOptional\nUpload""}, {""text"": ""Pending (2)\nFinancial Declaration\nOptional\nUpload\nBank Statement\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload\nBank Statement\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload\nBank Statement\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload\nBank Statement\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload""}, {""text"": ""Financial Declaration\nOptional\nUpload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Bank Statement\nOptional\nUpload""}, {""text"": ""Bank Statement\nOptional\nUpload""}, {""text"": ""Bank Statement\nOptional\nUpload""}, {""text"": ""Bank Statement\nOptional\nUpload""}, {""text"": ""Bank Statement\nOptional\nUpload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}, {""text"": ""Upload""}]"
2328304,2,,,,,[]
